idx,text
23550,Not sure what’s up with your copy - Ive got essentially your same build and I’ve never had it drop below ~55 FPS except for a few select times. For the most part it runs fantastic. Worst part of the game is the EA social stuff and whatnot.
23551,On what resolution? I think I remember installing this game on a customer's PC that had a 3600 and 1660Super and it ran fine at 1080p with mostly high settings.
23552,But the races aren't fun in that game imo. No real story and rivalries like old games.
23553,"As someone who's been dying for another Underground, Heat was such a disappointment for me. I know NFS has always been the arcade-y racing series but Heat took it to a whole other level with the ""release the gas and press it again to enter drift mode"" thing. It felt *awful* to drive like that, and I couldn't find anyway to disable it so I had to just uninstall.

Edit: Seems there is an option to toggle it off now? Definitely wasn't a thing when it first came out 'cause I even searched online for an answer to this. Perhaps I'll give it another go now."
23554,Most Wanted holds up pretty damn well too
23555,"NFS Heat was pretty good too. First one I've played more than an hour or two of since MW 2012 (and I really didn't like that one either) after loving the Undergrounds / MW 2005 / Carbon, and after muting the music to play my own instead it was easily the most fun classic Black Box NFS feeling since IMO."
23556,"F1 2020! You can create your own team, which you will start with a slow car competing against the slowest teams, and it allows you to dive deep into upgrading your facilities and car upgrades. Slowly over time, you can see your race results improve, and my oh my does it feel good to finally get your first podium (top 3 finish). The physics is super well done, too. At first, I had no desire to play an F1 game because why would I only want to race with the same type of cars? But once you play it and see how fast these cars go around the most insane circuits in the world you understand how much fun it is to play this game. I have started 2 different teams, 3 different drivers, and played the heck out of online. I use a Logitech G920 racing wheel and it is so much fun. If you enjoy simulation racing and want a game that will start you off with crap equipment and slow cars, this is the game for you. Even the slowest Formula 1 car is still one of the fastest cars on the planet.

P.S. F1 2019 and earlier do NOT have MyTeam in the game. Just a heads up.

TLDR: F1 2020 is a 10/10 game for someone looking for a racing game that makes you grind to get a faster car. And not a bad type of hours upon hours grind either."
23557,"maybe FlatOut

edit: And Wreckfest! Same devs if I remember correctly."
23558,I'll add wreckfest to the list
23559,my dumbass forgot WF and I was just playing it the other day lmao
23560,"Definitely the FlatOut games.  
  
Burnout Paradise is pretty good as well."
23561,"Yup. It's not much, you get like 4 categories overall but damn is it fun."
23562,I had the same itch and Wreckfest surprised me. Great game.
23564,"Currently gonna emulate GT3, then Gt4 and NFS the remastered versions. Would be cool if new games would be more progression based instead of just handing you the crazy cars from the getgo."
23565,Need for speed ProStreet
23566,"Such an underrated game. Its so good. The only reason it didnt do well when it launched was everyone was still attached to most wanted and carbon and wanted a sequel to those, and they got a track racing game.

Pro Street is honestly one of my favorite Need for Speeds ever."
23567,"Pro Street honestly had some of the best feeling and most interesting racing in the NFS series.

From the track events to the speed challenges and even wheelie competitions. Plus the progression is super rewarding and unlike other NFS games you had to build multiple cars from the ground up to win every second of the ""crown."""
23568,"I have actually played though that game multiple times because I liked it so much! So well done. (At least, from what I remember)"
23569,"Thank you! Where has this gone from racing games?!

It was the whole driving force (lol) behind Turismo 1-4. I loved starting in the hot-hatch tourneys, tuning that car up so it can win, getting a better car, eventually getting into the rally scene then eventually ending up with super cars and LM race cars. So good.

That and proper points-based tournaments where you can't restart races but if you do well you can sit back and come last in the final race and still win overall."
23570,"Sadly the same place depth has gone in a lot of other genres, down the shitter to appeal to as many people as possible.

I would say my favourite games of all time are XCOM UFO defence and Rome total war, i still play these modded today. And while they had problems as all old games do just compare the complexity and strategical depth on offer in 1994 and 2004 with sequels from 2016 and 2020. The heart and soul has just been completely ripped out and replaced with fancy graphics and dumbed down gameplay its disgusting it really is.

I guarantee anybody who has played modern XCom has at least heard of either of the Long war mods too, where the direct goal of this mod is increasing the length, difficulty and complexity of the base campaign. I mean do these companies not know how to take a hint? Hardcore gamers are still a big audience and nobody is catering to them."
23571,"NFS Shift was also pretty good for this, you could not access the higher car classes before completed the previous ones"
23573,"NFS 5 Porsche unleashed. Build your way up through Porsche history. Occasional interspersed with some genuinely difficult story missions. The one where you have to get to the train station in 1:15, without a scratch, in random traffic, was particularly brutal. But man when Dieter said there’d be something extra in my cheque, all worth it somehow."
23574,"A guy released a patch for it in 2019 as well, so it'll work on modern systems with that."
23575,"I was never really a fan of Porsche as a brand, but I LOVED this game and it really gave me an appreciation for them. 

This was my immediate thought reading this post. The hard, long progression really made you appreciate minor differences between seemingly very similar cars and I formed real bonds with the cars I had, valuing each of them. A world away from the Forza experience described here."
23576,"Need For Speed, all of them.

But emulating Gran Turismo 4 is still the best there is, in my opinion.

Heck I think even some decent PCs can run Gran Turismo 5 without an issue now."
23577,"Fun fact: NTSC version of GT4 can run on PS2 at 1080i (yes, really) if you have a component cable, so it will look pretty good even on current TVs. That game was definitely build to last."
23578,The 1080i mode in GT4 looked worse than the 480p mode due to it being upscaled from 576i and have a lower colour count. Plus interlacing is yucky.
23579,"Well, the 1080i mode definitely looked better on my 720p TV, yes, there was some film grain, but it was way sharper."
23580,When you emulate in on a PC it’s best to just upscale the 480p mode in 16:9 format. Interlacing on a full hd screen looks gross when things move a lot.
23581,"I'm currently getting the 3-a spec rom and emulating it. Will be moving on to 4 when i've finished 3. Nothing mentioned so far seems to really fit it quite right, although i love how i'm clearly not the only one with this itch. 

\- i've been looking at the new NFS as well, the remaster of the old ones seem pretty cool, so they go on the list as well."
23582,Street rod 1 and 2.
23583,"Yes. They were good. I can still remember playing pink slips with keyboard. 

I just hope that some one would make a modern version."
23584,Need for speed Heat is really fun. Put in probably 80+ hrs into it trying to get all the upgrade parts and just racing with friends
